Metrics,Scan Division,Metric type,Raw point cloud/Voxelized point cloud,Description (simplified),Description (Detailed),,,,,,,,,,
h_filename,Entire point cloud,NA,NA,File name of the scan,"File name of the scan that includes location ID, plot number, scan date and laser type",,,,,,,,,,1
h_ground_cnt,Entire point cloud,General,Raw,Number of points classified as ground,The number of points in a raw point cloud that were classified as ground points using a cloth simulation filter,,,,,,,,,,1
h_not_ground_cnt,Entire point cloud,General,Raw,Number of points not classified as ground,The number of points in a raw point cloud that were not classified as ground points using a cloth simulation filter,,,,,,,,,,1
h_per_ground,Entire point cloud,General,Raw,Percent of ground points in the scan,The percentage of points in the scan that were classified as ground points using a cloth simulation filter,,,,,,,,,,1
h_ng_tgi,Entire point cloud,General,Raw,Triangular greenness index of points classified as not ground,Triangular greenness index of points classified as not ground utilizing RGB values from the point cloud,,,,,,,,,,1
h_ng_vari,Entire point cloud,General,Raw,Visual atmospheric resistance index of points not classified as ground,Visual atmospheric resistance index of points classified as not ground utilizing RGB values from the point cloud,,,,,,,,,,1
h_zmax,Entire point cloud,General,Raw,Maximum height of the normalized point cloud,The height of the highest point in the normalized point cloud,,,,,,,,,,1
h_zmean,Entire point cloud,General,Raw,Mean height of the normalized point cloud,The mean height of all points in the normalized point cloud (includes ground points),,,,,,,,,,1
h_zsd,Entire point cloud,General,Raw,Standard deviation of the height of points in the normalized point cloud,The standard deviation of all points in the normalized point cloud (includes ground points),,,,,,,,,,1
h_zskew,Entire point cloud,General,Raw,Skewness of point heights in the point cloud,The skewness of all points in the normalized point cloud (includes ground points),,,,,,,,,,1
h_zkurt,Entire point cloud,General,Raw,Kurtosis of point heights in the point cloud,The kurtosis of all points in the normalized point cloud (includes ground points),,,,,,,,,,1
h_pzabovezmean,Entire point cloud,General,Raw,Percent of points above two standard deviations above the mean height of the point cloud,The percent of points above two standard deviations above the mean height of the normalized point cloud (includes ground points),,,,,,,,,,1
h_pzabove2,Entire point cloud,General,Raw,Percent of points above the mean height of the point cloud,The percent of points above the mean height of the normalized point cloud (includes ground points),,,,,,,,,,1
TBA,Tree data,Trees,Voxelized,Total basal area in the voxelized point cloud (sq. m),Total basal area of all detected overstory trees calculated from classified stem points in the point cloud,,,,,,,,,,1
Basalarea,Tree data,Trees,Voxelized,Basal area estimated from the tree inventory (sq. ft/acre),"Total basal area of detected overstory trees corrected for possible occlusion, converted to imperial measurements and scaled to acres",,,,,,,,,,1
